,name,fold,Direction,tstat,pvalue,FDR,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,LCC1,LCC9,20130426_AYESHA_CELL_NEG_1701,20130426_AYESHA_CELL_NEG_1801,20130426_AYESHA_CELL_NEG_1901,20130426_AYESHA_CELL_NEG_2001,20130426_AYESHA_CELL_NEG_2101,20130426_AYESHA_CELL_NEG_501,20130426_AYESHA_CELL_NEG_601,20130426_AYESHA_CELL_NEG_701,20130426_AYESHA_CELL_NEG_801,20130426_AYESHA_CELL_NEG_901,20130426_AYESHA_CELL_NEG_1101,20130426_AYESHA_CELL_NEG_1201,20130426_AYESHA_CELL_NEG_1301,20130426_AYESHA_CELL_NEG_1401,20130426_AYESHA_CELL_NEG_1501,20130426_AYESHA_CELL_NEG_2301,20130426_AYESHA_CELL_NEG_2401,20130426_AYESHA_CELL_NEG_2501,20130426_AYESHA_CELL_NEG_2601,20130426_AYESHA_CELL_NEG_2701,isotopes,adduct,pcgroup
861,M525T28,2.238826503,UP,3.702975511,0.002220027,0.030011226,525.0873993,525.0824968,525.0989582,28.24400067,27.90999983,28.88300014,8,3,5,699.5559903,433.1758415,595.4695406,387.8375602,1708.278928,772.5206536,513.2233935,568.2707734,544.6832497,855.4688491,1300.547494,964.0655101,1045.899201,1367.908069,2786.938133,1491.296905,2425.661385,1276.703477,1008.517173,2179.961979,,[2M-2H+K]- 244.066,19
158,M218T25,1.409839332,UP,3.568274955,0.002221397,0.030011226,218.0330704,218.031515,218.0344631,25.39700024,23.50500086,26.32899961,12,5,7,3269.089323,3415.241654,1929.837726,4190.733682,4280.211392,3287.274648,2108.945238,3381.617733,2688.013329,2951.901691,4678.231778,5288.395045,3445.347954,4597.680279,5120.845162,5185.260638,4574.077173,3889.845711,2691.552604,4942.743804,,,52
826,M508T446,2.763153269,UP,4.103263462,0.002251252,0.030211801,508.3403452,508.3392097,508.3410391,446.0889996,445.3939893,446.822988,16,6,10,4340.786553,3378.256865,6203.009369,5339.386737,4129.74446,3808.010291,2615.741683,6363.762911,4642.543732,3709.786255,6374.229944,14120.68588,11791.04204,6296.812225,22411.12522,6245.652503,15992.47476,11261.66533,7942.360956,20610.00908,[127][M]-,,47
1004,M588T542,2.736979366,UP,3.960377213,0.00226649,0.030214859,588.4070341,588.4007821,588.4186198,542.196515,538.7079959,542.8299959,8,3,5,1149.371572,1837.622896,2089.658876,974.2298596,829.5398889,854.983047,1658.770881,2712.886115,967.1375819,2111.552017,1670.15668,5152.887037,4991.394927,2248.115986,4797.895069,1383.106939,6149.955775,6698.187693,2506.102249,5965.289529,,,501
952,M565T24,1.99008483,DOWN,-3.572418652,0.002312803,0.030629422,564.5876709,564.5858088,564.5929963,23.78500086,23.25100002,24.46500086,17,10,7,13850.62574,12222.16234,16278.5269,7291.730146,6441.419316,14020.98298,12842.6353,13033.7801,5879.754389,7491.040583,5739.912974,2053.235773,10291.99692,5739.514058,3733.062609,7673.112697,1708.152975,9768.801209,5206.070036,3034.882704,,,43
1782,M885T589,1.698705448,DOWN,-3.561641297,0.002340271,0.030790619,884.5400782,884.5386391,884.5447827,588.9570169,587.9879951,592.0750142,19,10,9,18948.78454,13059.75757,11228.38106,20008.09945,16855.70342,15656.88265,10989.4578,10035.1377,16965.22376,16133.04745,12199.7379,4017.40095,5076.705312,14321.76203,5974.346079,12516.64461,6102.109162,6015.833509,15240.68362,6766.951285,[367][M+1]-,,2
1976,M1080T529,1.343166304,UP,3.534549931,0.002409201,0.0314038,1079.634892,1079.629428,1079.64169,528.5870215,527.2029793,530.634001,17,8,9,2138.963385,1640.337298,2965.659179,3343.401293,2395.759427,2107.92616,1846.102596,2793.758503,2984.001646,3075.371572,2912.132015,3397.81365,2984.369324,2786.215126,3615.651226,4066.534805,4244.648409,2816.309869,3547.612728,3599.109353,[431][M]-,,34
712,M460T27,1.950951744,UP,3.667164291,0.002418077,0.0314038,459.9483634,459.9458233,459.9525541,26.97949972,25.36599929,28.22800074,10,3,7,3874.585838,2636.153806,1062.283341,3216.297215,4410.808591,3270.605773,2433.137966,1238.734608,1662.865007,3278.859772,6979.174996,5124.825543,1562.839319,5001.207426,6471.583356,5817.08103,6869.365662,2201.249704,6145.016488,6667.881074,,[M-H-CO2]- 504.94,19
114,M190T85,1.768865389,UP,3.661533044,0.002479982,0.031868696,190.0521156,190.0507341,190.0528928,84.90200317,84.29999981,85.8659977,11,5,6,1239.265934,1317.65983,1915.835986,1348.492384,2492.277347,1810.186737,1677.698759,2471.472371,1097.877839,2818.556801,3205.928532,2740.860174,3009.565861,1881.022104,3147.384312,3309.745592,3144.495947,5337.230926,1909.976827,4488.255378,,,178
1678,M838T595,1.517024413,UP,3.75468542,0.002510596,0.031868696,837.5445043,837.5418571,837.5461291,595.1889848,594.74198,598.1010277,20,10,10,48387.65905,65835.43374,60467.32065,42713.02008,66888.67194,44709.83237,57969.45865,54516.85964,39070.9703,60811.67573,70083.02088,92288.26579,73664.93285,52440.88057,111205.5846,75307.32571,100638.1012,77346.66558,55371.41471,112926.6833,[335][M+2]-,,202
