probeset_id,gene_symbol,pvalue,FDR,logFC,LCC1-P18.CEL,LCC1-P19.CEL,LCC1-P20.CEL,LCC9 -P12.CEL,LCC9 -P13.CEL,LCC9 -P14.CEL
205944_s_at,CLTCL1,0.003511165,0.01308499,0.341348192,5.970933631,5.684536496,5.796504287,6.186036414,6.122376699,6.167605877
244268_x_at,LOC646214,0.00351781,0.013107671,-0.271989653,9.021341684,8.919874934,9.063870098,8.715168124,8.740684289,8.733265344
218264_at,BCCIP,0.003523841,0.013128057,0.333927186,8.259579473,8.165445308,8.17906859,8.390249997,8.648728398,8.566896533
209014_at,MAGED1,0.003527385,0.013137738,0.261328711,11.51820501,11.60302887,11.54294232,11.77902851,11.81085736,11.85827645
210131_x_at,SDHC,0.00352756,0.013137738,-0.286222697,11.10498834,11.14613427,11.09592166,10.90977947,10.73305761,10.8455391
226170_at,EYA3,0.003533529,0.013157879,0.247872474,9.297592913,9.309578226,9.268302137,9.516978242,9.544457723,9.557654734
201566_x_at,ID2,0.003535861,0.013164472,0.370980506,8.549744343,8.426796761,8.662015721,8.776032044,9.024182622,8.951283677
200721_s_at,ACTR1A,0.00353868,0.013172877,0.257478907,9.126097653,9.078082018,9.115590301,9.320623739,9.41231185,9.359271105
209858_x_at,MPPE1,0.003540036,0.013172905,-0.271922733,8.797545639,8.912578463,8.90966234,8.628302911,8.616952288,8.558763047
214662_at,WDR43,0.003541472,0.013172905,0.354382556,9.956781681,9.759405549,9.856526991,10.16460766,10.35435553,10.1168987
221657_s_at,ASB6,0.003541496,0.013172905,0.346879044,8.150153576,8.178332701,8.190095775,8.694824436,8.422910384,8.441484365
235826_at,OTTHUMG00000175504 /// RP11-355O1.11,0.003541243,0.013172905,0.291065914,6.311023753,6.388489143,6.266759368,6.702375145,6.560380954,6.576713908
236302_at,PPM1E,0.003541426,0.013172905,0.303355532,8.532881754,8.431078985,8.356529359,8.812154443,8.673604503,8.744797749
212703_at,TLN2,0.003542331,0.013173921,-0.282607884,7.665654306,7.525725845,7.540187069,7.34652452,7.263245221,7.273973829
238833_at,---,0.003543278,0.013175354,-0.621119853,5.833966805,6.205140819,5.772505496,5.009245785,5.471692574,5.4673152
229964_at,C9orf152,0.003550619,0.013200558,-0.361485547,9.29974655,9.495940509,9.496345227,8.931207962,9.118754751,9.157612932
217827_s_at,SPG21,0.003554254,0.013211977,-0.253971101,12.46609045,12.50283966,12.42100732,12.18552758,12.22187753,12.22061903
233315_at,---,0.003561093,0.013235302,0.308841508,6.173991126,6.294121242,6.193306204,6.642918164,6.485007344,6.460017586
209674_at,CRY1,0.003565807,0.013248623,0.284239411,9.329779412,9.330657455,9.349227485,9.545815012,9.722030153,9.594537418
222243_s_at,TOB2,0.003565451,0.013248623,0.295868555,9.436550307,9.479646699,9.34825497,9.627001898,9.742879354,9.782176389
233632_s_at,XRN1,0.00357521,0.013281455,-0.366705528,7.920242261,7.806912057,7.918396606,7.474752578,7.689167486,7.381514277
204459_at,CSTF2,0.003578281,0.013290758,0.256699982,9.689674464,9.715163244,9.77842457,9.959688439,10.00919152,9.984482268
234307_s_at,KIF26A,0.003581012,0.013298795,-0.253769216,7.416778469,7.366231692,7.457064574,7.168299712,7.153583833,7.156883543
230464_at,S1PR5,0.003581635,0.013299003,0.363894477,6.269665782,6.462422861,6.499509996,6.818101219,6.86067838,6.64450247
1560258_a_at,CTB-92J24.2 /// OTTHUMG00000183390,0.003584653,0.013308102,-0.471867573,7.096306333,7.243346485,7.181161841,6.44963144,6.727701982,6.927878518
213751_at,PPP1R37,0.003587643,0.013316353,-0.447594158,7.203564762,7.481444075,7.287899137,6.663261366,6.992742692,6.974121441
227809_at,ZC3H6,0.003588011,0.013316353,-0.434182612,8.105988146,7.73250002,7.789306797,7.468611474,7.52295219,7.333683465
205224_at,SURF2,0.003592399,0.013330529,0.267789643,9.042207457,9.143869406,9.038139314,9.360023605,9.367853219,9.299708282
202983_at,HLTF,0.003594046,0.013333375,-0.354253038,11.26418204,11.27986589,11.36229726,10.85859081,11.12278887,10.8622064
222512_at,NUB1,0.003594303,0.013333375,0.246070349,8.9754197,8.997191951,8.959384033,9.242486925,9.220596115,9.20712369
222810_s_at,RASAL2,0.00359544,0.013335483,-0.331469987,6.442398238,6.586455974,6.36233572,6.094165169,6.075658739,6.226956062
202538_s_at,CHMP2B,0.00359802,0.013342942,0.301537176,9.612788449,9.50735734,9.637622946,9.830478493,9.987990775,9.843910992
202793_at,LPCAT3,0.003604773,0.013359535,-0.362479493,7.718803611,7.492505918,7.590999894,7.115760329,7.362193235,7.236917381
210357_s_at,SMOX,0.003604391,0.013359535,0.287437081,6.25392393,6.164045793,6.214819889,6.595679149,6.459215156,6.440206551
217849_s_at,CDC42BPB,0.003604342,0.013359535,-0.328398839,8.619199428,8.885809163,8.789679717,8.408571966,8.462634718,8.438285109
222651_s_at,TRPS1,0.00360415,0.013359535,0.274091783,10.53549739,10.38865846,10.47792956,10.71183151,10.77029443,10.74223482
242706_s_at,MED23,0.003606668,0.013364446,0.41304351,6.27062323,6.378283834,6.067052737,6.50763886,6.672098936,6.775352536
212617_at,ZNF609,0.003608244,0.013368174,-0.419555419,7.1711397,7.524413415,7.159078484,6.84731917,6.919093364,6.829552807
213632_at,DHODH,0.003612174,0.01338062,0.262270793,8.097648573,8.170301461,8.13603076,8.340527686,8.439079329,8.411186157
