,name,fold,Direction,tstat,pvalue,FDR,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,LCC1,LCC9,20130426_AYESHA_CELL_POS_1001,20130426_AYESHA_CELL_POS_1101,20130426_AYESHA_CELL_POS_1201,20130426_AYESHA_CELL_POS_2001,20130426_AYESHA_CELL_POS_2101,20130426_AYESHA_CELL_POS_2201,20130426_AYESHA_CELL_POS_2301,20130426_AYESHA_CELL_POS_2401,20130426_AYESHA_CELL_POS_801,20130426_AYESHA_CELL_POS_901,20130426_AYESHA_CELL_POS_1401,20130426_AYESHA_CELL_POS_1501,20130426_AYESHA_CELL_POS_1601,20130426_AYESHA_CELL_POS_1701,20130426_AYESHA_CELL_POS_1801,20130426_AYESHA_CELL_POS_2601,20130426_AYESHA_CELL_POS_2701,20130426_AYESHA_CELL_POS_2801,20130426_AYESHA_CELL_POS_2901,20130426_AYESHA_CELL_POS_3001,isotopes,adduct,pcgroup
1125,M335T26_2,1.288038032,DOWN,-1.674120518,0.112092613,0.340440629,335.0971922,335.081767,335.10146,25.56599929,22.90200055,26.16899961,9,3,6,395.3586589,847.5308902,776.6153833,756.3283656,587.2588643,799.0985906,919.6334993,410.5151065,887.7528896,645.1885821,294.3116426,255.2032419,446.1538277,503.6000269,784.1850618,706.9983675,686.2392267,225.5707013,829.5298855,722.4575468,,[M+Na]+ 312.111,54
2337,M530T451,1.607077633,UP,1.694194628,0.112334001,0.340943548,530.3250165,530.3166153,530.3309631,450.7414967,449.8229885,452.9539993,12,5,7,2412.934067,230.4235927,1868.458354,1212.419494,1087.640308,2964.134848,1169.023824,989.142012,1208.583996,1151.534808,1484.328307,2227.606943,5199.974287,1209.512026,3128.886903,1151.190823,2206.778725,4013.955516,754.7999069,1595.008824,,[M+Na]+ 507.334,105
1529,M397T553,1.294266218,DOWN,-1.67097608,0.112474012,0.341138304,397.414413,397.4068006,397.4172058,553.0470085,552.0980072,553.9839935,9,4,5,2159.983905,2013.683308,1704.724106,1044.657063,1233.17927,1709.64682,2033.502814,1219.530835,1247.706742,1064.476135,1323.486275,1071.501006,723.1361899,1989.146609,871.526741,730.1049023,574.77293,1192.824741,2003.734738,1442.421956,,,217
4139,M788T597,1.302710007,DOWN,-1.744902309,0.112622379,0.341358126,787.9986423,787.9902654,788.0116292,596.6360092,593.1950046,599.0409996,5,0,5,3181.945731,3148.609045,2973.497639,3000.664524,3002.569643,3408.595097,2557.913181,3078.802019,2927.288275,3397.617563,3322.00084,3998.900878,3098.159766,1239.948755,3674.184141,1183.085757,3576.57083,1081.659745,973.605163,1400.87243,,,493
3498,M704T28,1.375253209,UP,1.675055557,0.112843563,0.341798213,704.1080415,704.0919524,704.1119235,27.50600077,26.24899961,28.42400067,11,5,6,725.194315,642.6609047,1204.111566,437.3512588,777.0589601,416.3827696,1159.45302,807.7307708,1581.127516,1012.400819,1497.772139,888.2131646,529.4201199,790.6725883,1901.316495,1991.103547,1329.369517,882.4916016,789.8156832,1451.817994,[631][M+1]+,,49
3433,M696T24,1.297723107,DOWN,-1.668579576,0.112962371,0.341927824,695.6957576,695.6858293,695.7002383,23.87499997,23.2259996,24.93799939,8,5,3,580.3083481,703.3658226,564.5425434,505.8429673,1036.115829,1201.928696,541.0391947,1023.626802,1154.130039,956.2158007,1107.191881,319.0206099,495.1692945,572.3950348,654.3899905,439.4610047,676.4477208,935.1340368,537.1702573,634.0978149,,[M+Na]+ 672.713,39
1948,M463T407,1.48724656,UP,1.67161254,0.113042202,0.341939358,463.3021801,463.2986149,463.3060978,407.1674967,406.8550014,408.2429952,12,6,6,7008.828443,1502.862048,3915.382737,2882.197626,3002.852507,6637.604916,1833.062262,2257.788099,2889.669268,2253.732141,2411.576467,5070.451018,10082.16675,2108.190906,6864.993882,4681.458098,5343.194864,6900.101438,2163.184907,5214.688401,[300][M+1]+,,456
3331,M683T565,1.46142844,UP,1.707489862,0.113135947,0.341992936,682.6520184,682.6455659,682.6543104,564.8414898,564.4969748,565.448998,12,9,3,2873.760028,1347.705421,2781.483433,1045.910542,2267.878127,2166.472515,1128.962203,1692.490266,1853.783592,2441.873424,2239.793682,4799.628199,2197.172681,903.9817062,5031.262735,1933.191563,3764.297856,2054.952367,1137.379997,4582.803648,[596][M]+,[M+H+NH3]+ 664.618,995
2676,M591T426,1.060010884,UP,1.66480407,0.113261738,0.342112115,591.4301822,591.4292412,591.4307815,426.0535097,424.6560131,428.6510063,20,10,10,34943.9236,33326.90448,34549.06014,30384.5339,28976.58027,35449.30718,31378.73373,32502.99668,28625.28047,29301.25309,38474.08399,33069.67875,32845.94016,34458.98875,34429.72728,37888.51737,30950.25486,31227.24838,31854.72379,33409.20147,[449][M+1]+,,92
363,M183T273,1.221148154,DOWN,-1.664824779,0.113401675,0.342112115,182.9860582,182.9859582,182.9863318,273.2629899,269.1779913,277.3649898,8,2,5,45866.58429,48020.50218,58237.56797,48032.82996,46471.94289,46819.66636,46628.89242,83665.53139,45313.91891,45520.3925,47397.79982,40738.44398,47974.78573,49819.50284,48191.6399,48219.10779,45630.25283,5951.746786,46567.60601,40897.64701,,,172
18,M97T214,1.445238705,DOWN,-1.721992527,0.113403549,0.342112115,97.06581959,97.06556292,97.06603732,214.4100012,214.4040012,214.7520039,11,6,5,2403.363315,10786.8378,16121.24476,22328.9648,21987.71684,2308.176298,10710.38456,16260.0227,23221.11919,21135.38295,6312.234211,12756.26181,11525.03602,8971.774122,12220.30935,5993.901186,12812.01086,9265.974368,9752.679146,12285.2447,,,71
249,M158T215,1.41610084,DOWN,-1.711991567,0.113497401,0.342165756,158.0901253,158.0895851,158.0905233,214.7195005,214.4040012,214.7230053,8,5,3,1695.078666,7326.972902,11881.15825,13721.43233,12946.01409,1633.871195,6967.572681,10125.33379,13698.31453,13225.85375,3446.924317,8806.220076,6818.60385,6884.876817,8392.03179,3655.611835,7716.100131,6729.643168,5844.745197,7535.019603,[25][M+1]+,,71
785,M279T607,1.323786325,DOWN,-1.675201421,0.113637268,0.342357957,279.2324898,279.2310799,279.2338079,606.8315021,606.1539749,607.5250218,20,10,10,15661.06602,9595.150638,14490.16619,25915.78168,17759.06909,13637.13129,8175.226967,14032.19936,28036.42359,18192.01769,20419.24829,15326.58147,10802.69349,10129.45045,11232.94886,18310.68558,12505.8516,6642.688367,10028.69701,9616.974617,,,12
925,M304T364,1.360810513,UP,1.694721368,0.11404163,0.343082029,304.3005056,304.3000535,304.3009508,364.0555,362.7439946,365.5279891,20,10,10,35215.60288,44257.37311,53853.13604,52731.43829,79313.13982,35129.1786,46096.08838,57090.03091,49883.30073,79302.62306,98601.05427,42509.89201,55703.37686,53683.24788,125343.8048,93736.72831,39956.74554,47914.11585,51968.48665,115720.2475,[120][M]+,,56
